2020-08-13 17:36:18.349  INFO [Trade-Sequence-Service,,,,]-INFO -TradeSequenceServiceApplication-[Line:651]-No active profile set, falling back to default profiles: default
2020-08-13 17:36:20.380  INFO [Trade-Sequence-Service,,,,]-INFO -cluster-[Line:71]-Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'}
2020-08-13 17:36:20.421  INFO [Trade-Sequence-Service,,,,]-INFO -connection-[Line:71]-Opened connection [connectionId{localValue:1, serverValue:3}] to localhost:27017
2020-08-13 17:36:20.425  INFO [Trade-Sequence-Service,,,,]-INFO -cluster-[Line:71]-Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=2631711}
2020-08-13 17:36:21.197  INFO [Trade-Sequence-Service,,,,]-INFO -PropertySourcedRequestMappingHandlerMapping-[Line:69]-Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-08-13 17:36:21.227  WARN [Trade-Sequence-Service,,,,]-WARN -URLConfigurationSource-[Line:121]-No URLs will be polled as dynamic configuration sources.
2020-08-13 17:36:21.227  INFO [Trade-Sequence-Service,,,,]-INFO -URLConfigurationSource-[Line:122]-To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-08-13 17:36:21.232  WARN [Trade-Sequence-Service,,,,]-WARN -URLConfigurationSource-[Line:121]-No URLs will be polled as dynamic configuration sources.
2020-08-13 17:36:21.232  INFO [Trade-Sequence-Service,,,,]-INFO -URLConfigurationSource-[Line:122]-To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-08-13 17:36:22.010  INFO [Trade-Sequence-Service,,,,]-INFO -DiscoveryClient-[Line:371]-Initializing Eureka in region us-east-1
2020-08-13 17:36:22.144  INFO [Trade-Sequence-Service,,,,]-INFO -DiscoveryJerseyProvider-[Line:70]-Using JSON encoding codec LegacyJacksonJson
2020-08-13 17:36:22.145  INFO [Trade-Sequence-Service,,,,]-INFO -DiscoveryJerseyProvider-[Line:71]-Using JSON decoding codec LegacyJacksonJson
2020-08-13 17:36:22.239  INFO [Trade-Sequence-Service,,,,]-INFO -DiscoveryJerseyProvider-[Line:80]-Using XML encoding codec XStreamXml
2020-08-13 17:36:22.239  INFO [Trade-Sequence-Service,,,,]-INFO -DiscoveryJerseyProvider-[Line:81]-Using XML decoding codec XStreamXml
2020-08-13 17:36:22.361  INFO [Trade-Sequence-Service,,,,]-INFO -ConfigClusterResolver-[Line:43]-Resolving eureka endpoints via configuration
2020-08-13 17:36:22.374  INFO [Trade-Sequence-Service,,,,]-INFO -DiscoveryClient-[Line:988]-Disable delta property : false
2020-08-13 17:36:22.375  INFO [Trade-Sequence-Service,,,,]-INFO -DiscoveryClient-[Line:989]-Single vip registry refresh property : null
2020-08-13 17:36:22.375  INFO [Trade-Sequence-Service,,,,]-INFO -DiscoveryClient-[Line:990]-Force full registry fetch : false
2020-08-13 17:36:22.375  INFO [Trade-Sequence-Service,,,,]-INFO -DiscoveryClient-[Line:991]-Application is null : false
2020-08-13 17:36:22.375  INFO [Trade-Sequence-Service,,,,]-INFO -DiscoveryClient-[Line:992]-Registered Applications size is zero : true
2020-08-13 17:36:22.375  INFO [Trade-Sequence-Service,,,,]-INFO -DiscoveryClient-[Line:994]-Application version is -1: true
2020-08-13 17:36:22.376  INFO [Trade-Sequence-Service,,,,]-INFO -DiscoveryClient-[Line:1077]-Getting all instance registry info from the eureka server
